0xCB588FD4, infinityloader
0x2CB5BC9A, __init__system__
0x8C87D8EB, __init__
0xC35E6AAB, init
0x603848D5, onplayerconnect
0xBE02CC45, onplayerspawned
0xD355A03A, menuoptions
0x7D9E7B5A, clientoptions
0x7B116F55, toggletest
0x7BD53F55, leveltoggletest
0x99956947, textslider
0x9D5E0CD1, valslider
0x8C17B151, fastrestartfix
0xA7CE4A89, unlockachievements
0xC25965A2, weapkilledit
0x28B24E1B, setlegitstats
0xFE011BD1, setprostats
0xD0F5C9DA, setinsanestats
0xE788083F, completedaily
0x84C79E8A, award_blackjack_contract
0xEE495E08, clantageditor
0xF007E40B, notifystats
0x60B65708, stateditor
0x902E5580, keyslooporig
0x95E2112E, currencyloop
0xF2E95443, giveloot3
0x3E01BDAE, submitstats
0xB234FBBD, unlockspecials
0xF310F374, tagslider
0xF4B99BDF, maxrank
0xB946095, setrank
0xE62A6B94, getplayerdata
0xB53B14D8, setprestige
0xCE25AE80, getcurrentrank
0x2E53ADAC, adjustkeys
0x727C1768, giveloot
0xCCE6D9DA, giveloot2
0x7C153CC8, resetduekeys
0x40F540DF, endthegame
0x8B4146D2, exittehgame
0xBE48CCA, keysloopclient
0x2B884110, keysloopplayer
0x36C9C3E8, do_online
0x5443E6CC, forcehost
0x34545891, printweap
0x85F5E81D, unlockcamos_self
0xCDD38849, maxweaponlevels_self
0x4B5F317A, begininfiniteammo
0xA260245B, infiniteammo
0x9DB45504, godmode
0x21887B76, noclip
0x983BF791, func_activenc
0x56D933BE, vector_scal
0x610C52D7, thirdperson
0x2A657CDD, allperks
0x710A6A2A, func_dogiveperk
0xD5EB466F, teleportwithselector
0xF0A818D9, func_waittill_confirm_location
0x93F3B0B4, clienthandler
0x864B3C9F, freezeplayer
0x468988EA, tagslidercli
0xD473C84B, clantagcli
0xB0BF2DEB, clientprestige
0xCB36DEC6, allhandler
0x9F0FE3F9, freezeall
0xBB7EDED2, kickallplayers
0x4EF8A89, printbribecount
0xC69DC427, testaddcrate
0x51A045C0, editjumpheight
0x94067701, editgravity
0xEBE87124, editgamespeed
0xEA489C10, edittimescale
0xDC6A48D6, editfov
0x132C78F, editgunx
0xDB304D26, editguny
0xB52DD2BD, editgunz
0x20EA24FC, printgametype
0x11BC1B62, endgame
0x868C273, changegametype
0x75D35331, setclientdvar
0x8B138CB0, initcampkill
0x98C72EF1, docampkill
0xB438644F, countcampset
0xD33A3F1F, nextorigincamp
0x73B16033, unlimitedgametimer
0x95D3C646, pausetimer2
0xACF9A9AF, resumetimer2
0x692DF966, unlockall
0x70EC107B, grab_stats_from_table
0x9CEBE121, sort_stats_from_table
0x78C1261E, unlock_all_challenges
0x6CB4A008, getindexfromname
0x55418BC4, isweapon_category
0xD9D07B08, func_aimbot
0x6D69CF20, func_aimbot_unfair
0x856C747D, func_aimbot_noaim_whenaiming
0x31BF3CAC, func_aimbot_noads
0x4762164, func_core_aimbot
0x1A8D5747, playtehmusic
0x96DC815F, spawnbott
0x3CF42B6E, toggleleft
0x895AC91, tosky
0x9A1E4DAD, skytrip
0xC8C5F6A8, clownshoes
0x6F4878CB, playmusicsafe
0xAE7CC2A1, customplaystate
0x55BB91F8, playsinglesound
0xB55D87CD, nextsong
0x3E44DE79, dieonnewmus
0xB8924AEB, togglecustombullets
0x8D117129, changebullettype
0xBF7943D6, monitorbulleteffect
0xE57D82FF, aonconn
0x427163F6, onaonspawned
0xA385751B, aonclasses
0x884996B9, aon
0x44420F6F, dokillstreaksaon
0xB50102D9, aondokills
0xB0822A5F, dotehwelcomeaon
0xDD5D2E14, setcustomgametype
0xB2A13003, givewonder
0x98428C75, onquickscopeconnect
0x7B5CD507, qsclass
0x776A88FF, award_weapon
0x324AD326, tw
0xCCD35ADB, sw
0x9D9AADE5, onquickscopespawned
0x6E6E41E1, xscope
0x6FB4D2E2, runcontrollermonitor
0xF54D1DCB, monitorbitch
0xEDE3A726, spawn_ferris
0x58BF3AAB, ferriswheel
0x4E0EECA3, ferrisrotate
0x29E2FE22, resetferrisspeed
0x15CD3EDC, doferrisrotate
0x898F4176, seat2anglefix
0x292705E0, spawn_merry
0xA95D3872, merrygoround
0x42F08171, movemerryseats
0x6CC3066D, merryrotate
0x7D684C22, resetmerryspeed
0xF8E2F0A6, spawnsm
0x1A9EB15E, spawnplayfx
0x4D2B0E80, modelspawner
0x681BC538, createroll
0xC220BC9F, calcdistance
0x6C513E64, spawntrig
0xB4E71ADC, rotateentyaw
0x8ADEA69E, deletemultiplearrays
0xA966AFEE, applymultiplephysics
0x2D0EB86A, array_delete
0x84F7EE6A, array_physics
0xD8E7BBC, s
0x2E71F60A, delayedfall
0xCB1D7E6E, showhintstring
0xB8B4A9A, ride_destroy2
0x82FF5BA8, ride_destroy
0x7489B7E5, monitorseatsystem
0x18ED2EE7, exitride
0xA5CE3531, editmovements
0xC3026136, build_theclaw
0xC6431F80, build_theclaw2
0x800CA21A, clawmovements
0x1D16DB7C, playerrideangles
0x88689C94, monitorplayersclaw
0x375F0A97, playerexitclaw
0xC1C245D0, createtext
0xCFD4873C, createrectangle
0x721BC952, affectelement
0x9D64739C, welcomemessage
0xBFBA5399, hudmovex
0x525D5EAE, hudfade
0xF8232E45, fadetocolor
0x7DFBA475, getpresetcolours
0x1FED5891, getcoloursslider
0x2DC55EC6, getname
0xC99967B7, round
0x621F8E91, arrayrandomize
0x2E076071, bool
0xD9BAAD84, getfloatstring
0x51180174, dorainbow
0xC8002046, rainbowchecks
0x560FFB26, rainbowcolor
0xE6F79781, feed
0x231BC3FE, destroyall
0x7F41C8E7, isinarray
0xF86332C7, menusave
0xA890FCF4, menuload
0x3D20A36, getmenubool
0x46D6D712, setmenubool
0x168ADA40, freezeinmenu
0xF7EAC5AD, menustealth
0x586E17EF, menugodmode
0x16B2262B, showclientinfo
0x67420E3B, movemenu
0x32CF0FDA, menutogglerainbow
0x24310D25, menupresetcol
0x2531D206, drawmenu
0x1C4EA0E2, drawtext
0xB5A45173, setmenutext
0xED40BB88, resizemenu
0xFC74E63C, refreshtitle
0xD4F5BF56, refreshoptsize
0xC0784002, menumonitor
0xC326439D, dooption
0x91E17971, scrollingsystem
0x5F17D120, updatescrollbar
0x9F479280, newmenu
0x11071938, _lockmenu
0xABB7E5F9, _unlockmenu
0xDB5381B7, addmenu
0x60D5B691, addopt
0xECB7AFF9, addtoggleopt
0x54D40A5, addslider
0x71900CCE, addoptslider
0x5082679, updateslider
0xFF91959A, updateoptslider
0x6444ECD7, setcurrentmenu
